,price,Modellår,Kilometer,farge,effekt,batterikapasitet,feature_model,url
54,136034,2012,159000,Perlemor,158 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
55,117880,2017,129000,Svart,116 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
56,109000,2015,163000,METALLIC,136 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
57,159000,2015,137000,Metallic,140 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
58,129000,2011,177000,Metallic,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
59,199982,2016,56600,Grå,122 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
60,220000,2013,403000,Svart,252 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
61,199900,2015,111478,Sort,150 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
62,106729,2008,171000,Svart,167 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
63,114034,2012,219300,Svart,140 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
64,279000,2012,185237,Blå,218 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
65,165000,2018,58200,Hvit,90 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
66,219034,2014,115000,Daytina grå,180 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
67,258000,2020,37000,Hvit,125 Hk,56 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
68,119000,2012,153000,Alpinhvit,116 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
69,164000,2017,160650,Carbon steel grey metallic,204 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
70,279000,2019,75940,Blå,170 Hk,,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
71,190365,2014,128000,Hvit,140 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
72,179009,2017,133000,Svart,,27 kWh,fully_charged,https://www.finn.no/car/used/ad.html?finnkode=272341475
73,269000,1984,70000,Rød,90 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
74,202847,2012,60000,Grå,122 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
75,159900,2009,91800,Safir svart metallic,170 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
76,199534,2017,114511,Blå metallic,114 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
77,119999,2010,215060,Svart,170 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
78,247609,2015,188411,Rød,334 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
79,164034,2014,103000,Hvit,136 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
80,260659,2016,106379,Blå,332 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
81,274990,2019,30000,Grå,136 Hk,100 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
82,116009,2017,122000,Svart,92 Hk,41 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
83,159000,2018,60000,Svart,92 Hk,41 kWh,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
84,147843,2017,59800,Blå,90 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
85,269000,2013,145000,tansanit-blau metallic,184 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
86,261383,2014,189500,Hvit,163 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
87,129034,2017,122000,Cool Beige,150 Hk,,unknown,https://www.finn.no/car/used/ad.html?finnkode=272341475
